Ctoggle,Date,State,Income,Cost,Result
Type1,2014-01-20,Alabama,71,68,3
Type1,2014-01-21,Alabama,45,28,2
Type1,2014-04-20,Alabama,36,41,5
Type1,2014-07-20,Alabama,52,32,4
Type1,2014-10-20,Alabama,22,25,4
Type1,2014-01-20,Alaska,45,28,2
Type1,2014-01-21,Alaska,36,41,5
Type1,2014-04-20,Alaska,52,32,4
Type1,2014-07-20,Alaska,71,68,3
Type1,2014-10-20,Alaska,45,28,2
Type2,2014-01-20,Alabama,710,680,30
Type2,2014-01-21,Alabama,450,280,20
Type2,2014-04-20,Alabama,360,410,50
Type2,2014-07-20,Alabama,520,320,40
Type2,2014-10-20,Alabama,220,250,40
Type2,2014-01-20,Alaska,450,280,20
Type2,2014-01-21,Alaska,360,410,50
Type2,2014-04-20,Alaska,520,320,40
Type2,2014-07-20,Alaska,710,680,30
Type2,2014-10-20,Alaska,450,280,20
